Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score
FetalDHS_Trynka.flanking.500,0.19951740928232245,0.3699044223422703,0.11008017732111097,1.8539957173303392,0.5517321907751147,0.12322342423057292,-4.900089049967145e-09,2.9765062066565476e-08,-0.16462552770791367
H3K27ac_Hnisz,0.3890438084271867,0.5835496204899198,0.03207828772016748,1.499958636661189,0.08245417874622528,7.687156095393325e-09,-1.4021954833532706e-08,1.0605918695216647e-08,-1.322087716913832
H3K27ac_Hnisz.flanking.500,0.03141536738073922,0.04612628141204426,0.037436281017289394,1.4682712716046196,1.1916550446022032,0.6943857336352528,1.8116010253599545e-08,5.636464057044574e-08,0.32140735876702287
H3K27ac_PGC2,0.26852127245725205,0.5651531532074369,0.09937530159288571,2.1046867089362835,0.3700835344756756,0.0032362517393396653,3.798092920982186e-08,2.566965507240503e-08,1.4796041903442438
H3K27ac_PGC2.flanking.500,0.06662345359350422,0.05316875779567801,0.0907682870479118,0.7980486589614736,1.362407412886829,0.881635566928237,2.6394516799969416e-09,5.8933022991125384e-08,0.04478731186748068
H3K4me1_peaks_Trynka,0.1688701811174639,0.5071885624330051,0.19167543099784398,3.003422860547602,1.1350460438276966,0.07889796973999523,1.0980173918440217e-07,8.855059882546288e-08,1.2399886690865436
H3K4me1_Trynka,0.4234550697272124,0.6115536346782217,0.09273369611913956,1.4441995819584386,0.21899300008116124,0.045449341444562634,-3.246469439194115e-08,2.5596542264969118e-08,-1.268323434309002
H3K4me1_Trynka.flanking.500,0.18224560022639893,0.1794120985900345,0.11098199973344633,0.9844522905746727,0.608969432433904,0.9796161292776089,1.0654733624440199e-08,2.9528122486051262e-08,0.36083342682804737
H3K4me3_peaks_Trynka,0.041368465427612314,0.07258803571366568,0.06616234955781566,1.754670736836546,1.5993426121543806,0.6358642135728636,-6.581430551555455e-09,1.1701029261268241e-07,-0.056246595103738015
H3K4me3_Trynka,0.13288674232645029,0.3110355783858201,0.060528111388210175,2.3406065416347435,0.4554864565760555,0.003192709678756866,1.3039250224016237e-08,3.542611494615194e-08,0.3680688735932809
H3K4me3_Trynka.flanking.500,0.12215443339122475,0.10849962172464447,0.07378308012410346,0.8882168146705905,0.6040147547309883,0.8526511818074493,-1.8564392366157e-08,3.0707169505898265e-08,-0.6045621483475099
H3K9ac_peaks_Trynka,0.038186366107664634,-0.038027770582811496,0.09103524365818151,-0.9958468023795198,2.3839724209816664,0.40287037267393455,-2.7055763743063283e-07,1.5753917970433588e-07,-1.7173990491660938
H3K9ac_Trynka,0.12530231117807794,0.3711729397203916,0.07264887464299748,2.9622194214190167,0.5797887841011159,0.0009204947379295178,1.1067973001224292e-07,4.6710417010477854e-08,2.369487088659812
H3K9ac_Trynka.flanking.500,0.10446978515419568,0.0967464051661226,0.08509742296660955,0.9260706818083956,0.8145649274668953,0.9276125789707699,-3.783926728539674e-09,4.109373661520665e-08,-0.09208037623766342
Intron_UCSC,0.3874513328700006,0.5245618085729272,0.03951877629570882,1.353877930132016,0.10199674886385882,0.000665395020620914,2.5466949859505176e-09,3.7013881289764193e-09,0.6880378110076177
Intron_UCSC.flanking.500,0.009340297750823288,0.023173015774049788,0.023263322578815405,2.4809718482483314,2.4906403628048035,0.553333495032472,-7.500864407368984e-08,1.588446369870719e-07,-0.47221389085861726
