Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score
base,1.0,1.0000000000000009,NA,1.0000000000000009,NA,NA,6.042895259953297e-10,1.4101612140720358e-08,0.0428525135966802
Coding_UCSC,0.014259139875316193,0.08963337588125302,0.03200306301334492,6.286029638885593,2.2443894437661696,0.0205712646255568,2.0304636503355746e-07,1.0294460099297288e-07,1.9723847882747891
Coding_UCSC.extend.500,0.06362202383798184,0.07476814307321111,0.056705808844804605,1.1751927801544586,0.8912921253371335,0.8436543793487429,-8.49521262685256e-08,4.590863635274114e-08,-1.8504606761959121
Conserved_LindbladToh,0.024670538061474286,0.24765897503851458,0.052465664286738954,10.038653166841986,2.1266526151964946,3.451000965175253e-05,2.9874798704842493e-07,8.0234335074362e-08,3.7234431714495075
Conserved_LindbladToh.extend.500,0.33020189530257454,0.7150628803388583,0.06717257419765973,2.1655323319196076,0.20342879660368807,3.0583236133391323e-08,3.7694792132865695e-08,1.5789061215024217e-08,2.387399201226536
CTCF_Hoffman,0.02381466422888569,-0.03336814975984358,0.05105037784760672,-1.4011597828606002,2.143653060020297,0.26358486235158685,-1.0885778099080216e-07,1.0362431131278485e-07,-1.050504264990677
CTCF_Hoffman.extend.500,0.07079445456831465,0.05031640439905524,0.042312891191412176,0.7107393468297906,0.5976865200731426,0.6286956961040755,3.020661660862819e-09,4.430592087022032e-08,0.06817738129652824
DGF_ENCODE,0.13536260314479115,0.24980018126413805,0.12082244494294393,1.8454150220274523,0.8925836393210148,0.3413981005974871,5.250037456481075e-09,4.795894152946762e-08,0.1094694188205816
DGF_ENCODE.extend.500,0.5382235233114903,0.7076310428385689,0.0806291576559262,1.31475309455963,0.14980608272162615,0.03958994783291073,-1.3579205055483496e-08,1.7279949245320333e-08,-0.7858359340471412
DHS_peaks_Trynka,0.10995982492666276,0.18103036283953705,0.12152476425318802,1.646331857660509,1.1051742246246614,0.5567950258222973,3.550201406652564e-08,8.267214492053605e-08,0.4294313895042877
DHS_Trynka,0.16574276914942213,0.21847330447580662,0.11239332123341417,1.3181468223138368,0.6781190021755229,0.6376641907557423,-2.9332759134071195e-08,5.3593038311103675e-08,-0.5473240566022152
DHS_Trynka.extend.500,0.4958054297830338,0.7146415057780994,0.08354215021353761,1.4413749080780116,0.16849785257514413,0.012684692866963086,-1.3818835735634076e-09,2.1456556405543012e-08,-0.06440379096463106
Enhancer_Andersson,0.004313758448650673,0.01076528689874793,0.022349223420886133,2.495570168541836,5.180916754362285,0.7724443255264971,6.893487547026525e-08,2.547465551796382e-07,0.2706017964468836
Enhancer_Andersson.extend.500,0.019022643079978238,0.020017961222296356,0.033083886354222644,1.052322810144386,1.7391845189506911,0.9759923243843496,-7.124467495312821e-08,1.0323133865356278e-07,-0.690145801482052
Enhancer_Hoffman,0.04192322331949207,0.02788320510768921,0.08445391313114149,0.665101652494478,2.014489975819081,0.8678592767058065,-1.5770989935722146e-07,1.670479620123743e-07,-0.9440995116452776
Enhancer_Hoffman.extend.500,0.08980535496536832,0.18531458586399277,0.046559653977132506,2.063513761907135,0.5184507538006763,0.04150524964204666,2.161335604459295e-08,7.175632379829416e-08,0.30120489596635047
FetalDHS_Trynka,0.08368288784110607,0.049596692598934664,0.09782891854966658,0.5926742477280063,1.1690432903728234,0.7279005358031272,-1.2289705013176457e-07,7.516939926111865e-08,-1.634934578961482
FetalDHS_Trynka.extend.500,0.28320029712342853,0.49312601403645445,0.07554577066121178,1.7412623469866382,0.26675738489174783,0.0077412833025226335,1.0060724098213475e-08,2.4852392615567843e-08,0.4048191356799713
H3K27ac_Hnisz,0.3890438084271867,0.63954298480006,0.04016590306115219,1.6438842386043437,0.10324262253018127,7.62925873767599e-09,-4.326165868846468e-08,5.376213552611836e-08,-0.8046863887586383
H3K27ac_Hnisz.extend.500,0.42045917580792597,0.6931245113889452,0.04296655537075299,1.6484941969861495,0.10218960090047115,1.2439657506323158e-08,2.590946300000415e-08,5.080932264912149e-08,0.5099352175766928
H3K27ac_PGC2,0.26852127245725205,0.6536250684590232,0.13121194456777674,2.434164945211478,0.48864636818919205,0.004019990544809112,1.3648848012737954e-08,7.39182111043903e-08,0.18464797522578702
