Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
base	1.0	1.0000000000004603	NA	1.0000000000004603	NA	NA	-9.436643500541285e-09	1.8800051171373072e-08	-0.5019477561268826
Coding_UCSC	0.014259139875316193	0.0736754667714598	0.029189030994080215	5.16689417564368	2.0470400914299858	0.042760496812768875	1.8833907576731392e-07	1.216277980839494e-07	1.548487095337526
Coding_UCSC.flanking.500	0.04936288396266565	0.0004764070952454857	0.04531167519345235	0.00965111956598411	0.9179300631568177	0.2845463615147604	-1.5070394410449658e-07	6.575992049440086e-08	-2.291729414686994
Conserved_LindbladToh	0.024670538061474286	0.08259188124160077	0.04575791763189432	3.3477940787427305	1.8547596131820998	0.20006983468133763	-4.592471343972189e-08	2.486737430948215e-07	-0.18467857871995108
Conserved_LindbladToh.flanking.500	0.30553135724110025	0.5607999585232221	0.06354768294487598	1.8354906795399228	0.20799070680895568	0.00012202862803567524	1.3900946727191405e-08	1.9612273149055592e-08	0.7087881461543274
CTCF_Hoffman	0.02381466422888569	-0.03962617529100235	0.04535659845562809	-1.663940121521356	1.9045659438949127	0.1634341437902678	-1.1321994091971196e-07	7.19824671478656e-08	-1.57288219487027
CTCF_Hoffman.flanking.500	0.04697979033942896	0.07858647714724298	0.049199279165457487	1.6727719851335165	1.0472434808668307	0.5188567303542456	5.345346589846312e-09	4.638000159792222e-08	0.1152511083588617
DGF_ENCODE	0.13536260314479115	0.20316099844587396	0.10760137424210121	1.5008650375064225	0.7949121230108509	0.5276541146977514	-5.648149680325073e-09	4.112484890503616e-08	-0.1373415302599057
DGF_ENCODE.flanking.500	0.4028609201666991	0.4080250887118053	0.13278307057103778	1.0128187378983529	0.3296002762345221	0.9689193524672466	-2.2156071516120223e-08	1.850787936507754e-08	-1.1971156218970416
DHS_peaks_Trynka	0.10995982492666276	0.11067266972650247	0.10886637868590972	1.0064827749618113	0.9900559477838173	0.9947622297631944	1.7039897704837645e-08	9.036634056908885e-08	0.1885646535814951
DHS_Trynka	0.16574276914942213	0.15758779689426253	0.10348610458943706	0.9507974176067515	0.6243777940993686	0.9370508508630563	-1.1735250733018182e-08	5.5556706387088476e-08	-0.21123013756887296
DHS_Trynka.flanking.500	0.33006266063361167	0.44405556600888635	0.13465025257310645	1.3453674679724323	0.40795360588387153	0.400088994707259	-5.169016567780097e-09	2.2568924110089485e-08	-0.22903247591981032
Enhancer_Andersson	0.004313758448650673	0.010636312027564002	0.018880135959945678	2.4656716768392535	4.376725350917901	0.7371423206909462	3.4730539364661346e-08	1.8545288679124177e-07	0.1872741911197984
Enhancer_Andersson.flanking.500	0.014708884631327565	0.0013828875299767489	0.036252508720843596	0.09401715797208852	2.4646674190122866	0.7132829640132614	-8.37383992298821e-08	1.074071629365018e-07	-0.7796351466744125
Enhancer_Hoffman	0.04192322331949207	-0.010451886409149255	0.09296500037866431	-0.24931018136407665	2.2175060269146942	0.5745152022918696	-1.76307233386328e-07	1.3292746835452883e-07	-1.326341617490989
Enhancer_Hoffman.flanking.500	0.04788213164587625	0.14059161849946514	0.08488513043952095	2.9362021628285904	1.7727934726738823	0.2796987625237609	1.9824667571326208e-08	6.66774834914028e-08	0.2973217724073576
FetalDHS_Trynka	0.08368288784110607	0.0004464735804551929	0.09565395391056619	0.005335303213996871	1.1430527360885339	0.3852109590203897	-1.3263004880258953e-07	7.62497580079873e-08	-1.7394159964244909
FetalDHS_Trynka.flanking.500	0.19951740928232245	0.3753503815331199	0.10980718540403557	1.8812913764431909	0.5503639296391197	0.11084018996329931	8.688368476776554e-10	2.96962428653578e-08	0.0292574670680377
H3K27ac_Hnisz	0.3890438084271867	0.5874662081402403	0.03232646029563169	1.5100258516263991	0.08309208267912042	4.866574341206424e-09	-1.4754373767283473e-08	1.0600113739400201e-08	-1.3919071181700675
H3K27ac_Hnisz.flanking.500	0.03141536738073922	0.038507320586912724	0.03796109837833996	1.2257478997530866	1.2083607973852293	0.8514948405832438	9.577681583566867e-09	5.6896305195550205e-08	0.1683357390369863
H3K27ac_PGC2	0.26852127245725205	0.564820962006276	0.09952789506005744	2.1034495957715755	0.37065180776655987	0.0033163139107701004	4.379856944944586e-08	2.5346186355744114e-08	1.728014180702177
H3K27ac_PGC2.flanking.500	0.06662345359350422	0.055068747851002804	0.09092271524939832	0.8265669952656433	1.3647253383793854	0.8984335534362677	5.430904492376099e-09	5.908848169597228e-08	0.09191139011355393
H3K4me1_peaks_Trynka	0.1688701811174639	0.597449229752118	0.18727180559542175	3.537920228418184	1.1089690575102653	0.023075761508273077	1.550416037637174e-07	8.588434328352773e-08	1.8052371111680114
H3K4me1_Trynka	0.4234550697272124	0.6293326829262793	0.09167792235715717	1.4861852600600394	0.21649976328354179	0.027127137888723524	-3.7711799073399666e-08	2.5452697623771982e-08	-1.4816425209946347
H3K4me1_Trynka.flanking.500	0.18224560022639893	0.15816073221630053	0.10994292595386845	0.8678438986720206	0.6032679297458443	0.8265368644171649	5.7320632000390396e-09	2.9211549616934633e-08	0.19622592006265993
H3K4me3_peaks_Trynka	0.041368465427612314	0.07641883691931757	0.06641213288739059	1.8472727022721538	1.6053806250947447	0.5962913276469464	-1.2302961442379097e-08	1.1781938409489406e-07	-0.10442221826987357
H3K4me3_Trynka	0.13288674232645029	0.3179628796189578	0.060317949288110746	2.3927359046687178	0.45390494365444933	0.0021270214831705264	1.2717163447180855e-08	3.554770973438458e-08	0.357749164213519
H3K4me3_Trynka.flanking.500	0.12215443339122475	0.11582413350398472	0.0738453164918308	0.9481778948868279	0.6045242439570405	0.931505692165095	-1.3628444432301594e-08	3.1108592660519985e-08	-0.43809260614985956
H3K9ac_peaks_Trynka	0.038186366107664634	-0.004405533700979333	0.09387135950944853	-0.11536928359609139	2.458242799138905	0.6499113063067088	-2.238519185361643e-07	1.6091920111655827e-07	-1.391082710968855
H3K9ac_Trynka	0.12530231117807794	0.3987413771359807	0.07284414740788843	3.18223481583907	0.5813471972146094	0.0002564399595892262	1.1329376077541022e-07	4.675283282190908e-08	2.423249115341714
H3K9ac_Trynka.flanking.500	0.10446978515419568	0.0763228016483219	0.08517143561485037	0.7305729741443491	0.8152733873161386	0.7409551888578063	-1.1860071599956386e-08	4.0871252788479495e-08	-0.2901812592174669
Intron_UCSC	0.3874513328700006	0.521480304594831	0.03972386946107461	1.3459246629299901	0.10252608802975248	0.0009283214828750909	3.871057791128202e-09	3.7097429131338763e-09	1.0434841124497363
Intron_UCSC.flanking.500	0.009340297750823288	0.022906766047556208	0.023432112436964934	2.452466362278132	2.508711506000924	0.5638290510066887	-6.775926653409957e-08	1.599392816993693e-07	-0.4236561888621185
PromoterFlanking_Hoffman	0.008276913935696063	-0.01952272840314227	0.022115123213783335	-2.35869655705203	2.671904454437646	0.21215798656529294	-2.931489860895969e-07	1.392557529321242e-07	-2.10511221200666
PromoterFlanking_Hoffman.flanking.500	0.024887274437739373	0.01241449930461878	0.038790765027845855	0.49882920428575656	1.5586586279220298	0.747326027107085	-9.380739377121746e-08	7.890110155478601e-08	-1.1889237529349457
Promoter_UCSC	0.04633528479948278	0.07035361466612744	0.027699453947353615	1.5183593878959554	0.5978047629840576	0.3859936579861064	-1.8537705218452112e-08	4.317738954532538e-08	-0.4293382581406917
Promoter_UCSC.flanking.500	0.010589886966611695	0.023684176011052962	0.02566319952792277	2.236489972529978	2.42336859768522	0.6097561090069774	2.529957319455946e-08	1.0593816666772048e-07	0.23881452728847608
Repressed_Hoffman	0.46001809379686065	0.3167819280810789	0.09477475733968214	0.6886292786147812	0.20602397735584227	0.13387912892825615	1.663540384912955e-08	1.6854168967730997e-08	0.9870201183445892
Repressed_Hoffman.flanking.500	0.25843749512468966	0.2082188466528626	0.11158971595475631	0.8056835814493644	0.4317860916463265	0.6502596990437985	-9.820169398720809e-09	2.6162507181603056e-08	-0.37535276457090294
SuperEnhancer_Hnisz	0.1672067462048907	0.3645570751628116	0.0448294890817534	2.1802773119936982	0.2681081361802265	2.4876476990908746e-05	1.1702371455390086e-08	1.206268971349989e-08	0.9701295261116967
SuperEnhancer_Hnisz.flanking.500	0.003173376184060851	0.0008362118420499558	0.019856958942038466	0.2635085768431925	6.257360549239472	0.9062245194522487	-5.143196013749339e-08	2.751358310228642e-07	-0.18693297759977806
TFBS_ENCODE	0.13097151074145144	0.15862970926218298	0.10991116970776021	1.2111772122361106	0.8391990676868187	0.8011391810488391	1.5133757940328693e-08	3.366347016896393e-08	0.4495602462957392
TFBS_ENCODE.flanking.500	0.2100698874161887	0.36597931218155083	0.13856340608324347	1.7421788371622995	0.6596062281345579	0.2640522854981903	3.168318241247662e-08	2.7547269104289772e-08	1.1501387775510128
Transcr_Hoffman	0.345192604324092	0.5644411171046314	0.10197946193423923	1.6351483491653631	0.29542771385244826	0.03431726069100924	3.04114492714182e-08	2.216483567807188e-08	1.3720584132958342
Transcr_Hoffman.flanking.500	0.41671057591317395	0.1695071653771931	0.10221843176727984	0.4067743301348601	0.24529838615993785	0.01759113586823629	-2.2800367081814876e-08	1.5158202224412413e-08	-1.5041603710164713
TSS_Hoffman	0.017806939892057904	0.04443491547606257	0.05381481928691237	2.4953706670218527	3.0221261830009536	0.6200643431458492	-1.650255486892631e-09	1.307229716152298e-07	-0.0126240665011043
